Card Name,Set Name,Set Code,Card Number,Quantity
Wind-Scarred Crag,Unknown,DFT,271,1
Plains,Unknown,DFT,277,1
Plains,Unknown,DFT,278,1
Plains,Unknown,DFT,279,1
Island,Unknown,DFT,280,1
Island,Unknown,DFT,281,1
Island,Unknown,DFT,282,1
Swamp,Unknown,DFT,283,1
Swamp,Unknown,DFT,284,1
Swamp,Unknown,DFT,285,1
Mountain,Unknown,DFT,286,1
Mountain,Unknown,DFT,287,1
Mountain,Unknown,DFT,288,1
Forest,Unknown,DFT,289,1
Forest,Unknown,DFT,290,1
Forest,Unknown,DFT,291,1
"Sundial, Dawn Tyrant",Unknown,DFT,31,1
Brightfield Glider,Unknown,DFT,4,1
Flood the Engine,Unknown,DFT,42,1
Gearseeker Serpent,Unknown,DFT,43,1
Spectral Interference,Unknown,DFT,63,1
Stall Out,Unknown,DFT,66,1
Bulwark Ox,Unknown,DFT,7,1
Trip Up,Unknown,DFT,71,1
Unstoppable Plan,Unknown,DFT,72,1
Engine Rat,Unknown,DFT,84,1
Grim Javelineer,Unknown,DFT,89,1
Maximum Overdrive,Unknown,DFT,96,1
Mutant Surveyor,Unknown,DFT,98,1
Sengir Connoisseur,Unknown,DMU,104,2
Citizen's Arrest,Unknown,DMU,11,3
Tribute to Urborg,Unknown,DMU,113,2
Urborg Repossession,Unknown,DMU,114,2
Dragon Whelp,Unknown,DMU,120,2
Electrostatic Infantry,Unknown,DMU,122,2
Ghitu Amplifier,Unknown,DMU,127,2
Hurloon Battle Hymn,Unknown,DMU,131,2
Lightning Strike,Unknown,DMU,137,3
Shivan Devastator,Unknown,DMU,143,1
Sprouting Goblin,Unknown,DMU,145,2
"Danitha, Benalia's Hope",Unknown,DMU,15,1
Viashino Branchrider,Unknown,DMU,150,3
Bite Down,Unknown,DMU,155,2
Colossal Growth,Unknown,DMU,158,2
Llanowar Loamspeaker,Unknown,DMU,170,1
Quirion Beastcaller,Unknown,DMU,175,2
Strength of the Coalition,Unknown,DMU,180,2
"Astor, Bearer of Blades",Unknown,DMU,194,1
"Baird, Argivian Recruiter",Unknown,DMU,195,2
"Najal, the Storm Runner",Unknown,DMU,208,1
Juniper Order Rootweaver,Unknown,DMU,22,3
"Tura Kennerüd, Skyknight",Unknown,DMU,224,1
"Vohar, Vodalian Desecrator",Unknown,DMU,226,2
Caves of Koilos,Unknown,DMU,244,1
Contaminated Aquifer,Unknown,DMU,245,4
Geothermal Bog,Unknown,DMU,247,4
Haunted Mire,Unknown,DMU,248,4
Idyllic Beachfront,Unknown,DMU,249,4
Karplusan Forest,Unknown,DMU,250,1
Molten Tributary,Unknown,DMU,251,4
Radiant Grove,Unknown,DMU,253,4
Sacred Peaks,Unknown,DMU,254,4
Shivan Reef,Unknown,DMU,255,1
Sulfurous Springs,Unknown,DMU,256,2
Sunlit Marsh,Unknown,DMU,257,4
Tangled Islet,Unknown,DMU,258,4
Mesa Cavalier,Unknown,DMU,26,1
Wooded Ridgeline,Unknown,DMU,260,4
Yavimaya Coast,Unknown,DMU,261,1
Plains,Unknown,DMU,262,1
Plains,Unknown,DMU,263,1
Plains,Unknown,DMU,264,1
Island,Unknown,DMU,265,1
Island,Unknown,DMU,266,1
Island,Unknown,DMU,267,1
Swamp,Unknown,DMU,268,1
Swamp,Unknown,DMU,269,1
Phyrexian Missionary,Unknown,DMU,27,2
Swamp,Unknown,DMU,270,1
Mountain,Unknown,DMU,271,1
Mountain,Unknown,DMU,272,1
Mountain,Unknown,DMU,273,1
Forest,Unknown,DMU,274,1
Forest,Unknown,DMU,275,1
Forest,Unknown,DMU,276,1
Serra Redeemer,Unknown,DMU,282,1
Resolute Reinforcements,Unknown,DMU,29,4
Temporary Lockdown,Unknown,DMU,36,1
Valiant Veteran,Unknown,DMU,38,1
Academy Wall,Unknown,DMU,41,3
Haughty Djinn,Unknown,DMU,52,1
Impede Momentum,Unknown,DMU,54,2
Phyrexian Espionage,Unknown,DMU,60,2
Rona's Vortex,Unknown,DMU,63,2
Shore Up,Unknown,DMU,64,2
Tolarian Terror,Unknown,DMU,72,3
Benalish Sleeper,Unknown,DMU,8,3
Braids's Frightful Return,Unknown,DMU,85,1
Cult Conscript,Unknown,DMU,88,2
Monstrous War-Leech,Unknown,DMU,98,1
A-Sprouting Goblin,Unknown,DMU,A-145,2
A-Llanowar Loamspeaker,Unknown,DMU,A-170,1
Fear of Immobility,Unknown,DSK,10,2
Live or Die,Unknown,DSK,107,1
Meathook Massacre II,Unknown,DSK,108,1
Fear of Surveillance,Unknown,DSK,11,1
Murder,Unknown,DSK,110,1
Resurrected Cultist,Unknown,DSK,115,1
Spectral Snatcher,Unknown,DSK,116,1
Unstoppable Slasher,Unknown,DSK,119,1
Bedhead Beastie,Unknown,DSK,125,1
Fear of Burning Alive,Unknown,DSK,135,1
Infernal Phantom,Unknown,DSK,141,1
Leyline of Resonance,Unknown,DSK,143,1
Most Valuable Slayer,Unknown,DSK,144,1
Grand Entryway // Elegant Rotunda,Unknown,DSK,15,1
Bashful Beastie,Unknown,DSK,169,1
Frantic Strength,Unknown,DSK,179,1
Leyline of Hope,Unknown,DSK,18,1
Grasping Longneck,Unknown,DSK,180,2
Say Its Name,Unknown,DSK,197,1
Spineseeker Centipede,Unknown,DSK,199,1
Living Phone,Unknown,DSK,20,1
Under the Skin,Unknown,DSK,203,1
Walk-In Closet // Forgotten Cellar,Unknown,DSK,205,1
Wary Watchdog,Unknown,DSK,206,1
Disturbing Mirth,Unknown,DSK,212,1
Malevolent Chandelier,Unknown,DSK,252,1
Etched Cornfield,Unknown,DSK,258,2
Strangled Cemetery,Unknown,DSK,268,1
Plains,Unknown,DSK,277,1
Plains,Unknown,DSK,278,1
Island,Unknown,DSK,279,1
Island,Unknown,DSK,280,1
Swamp,Unknown,DSK,281,1
Swamp,Unknown,DSK,282,1
Mountain,Unknown,DSK,283,1
Mountain,Unknown,DSK,284,1
Forest,Unknown,DSK,285,1
Forest,Unknown,DSK,286,1
Trapped in the Screen,Unknown,DSK,36,1
Unsettling Twins,Unknown,DSK,38,1
Daggermaw Megalodon,Unknown,DSK,48,1
Emerge from the Cocoon,Unknown,DSK,5,1
Erratic Apparition,Unknown,DSK,54,1
Piranha Fly,Unknown,DSK,70,1
Stalked Researcher,Unknown,DSK,73,1
"Stay Hidden, Stay Silent",Unknown,DSK,74,1
Tunnel Surveyor,Unknown,DSK,76,1
Unable to Scream,Unknown,DSK,78,2
Underwater Tunnel // Slimy Aquarium,Unknown,DSK,79,1
Balemurk Leech,Unknown,DSK,84,1
Cackling Slasher,Unknown,DSK,85,1
A-Leyline of Resonance,Unknown,DSK,A-143,1
Heirloom Auntie,Unknown,ECL,107,1
Moonglove Extractor,Unknown,ECL,109,1
Boldwyr Aggressor,Unknown,ECL,125,1
Boulder Dash,Unknown,ECL,127,1
Brambleback Brute,Unknown,ECL,128,1
Collective Inferno,Unknown,ECL,132,1
Feed the Flames,Unknown,ECL,137,1
Flame-Chain Mauler,Unknown,ECL,138,1
Kulrath Zealot,Unknown,ECL,148,1
Tweeze,Unknown,ECL,162,1
Assert Perfection,Unknown,ECL,164,1
Goldmeadow Nomad,Unknown,ECL,18,1
Lys Alana Informant,Unknown,ECL,181,1
Unforgiving Aim,Unknown,ECL,200,1
Vinebred Brawler,Unknown,ECL,201,1
Wildvine Pummeler,Unknown,ECL,203,1
Feisty Spikeling,Unknown,ECL,223,1
Liminal Hold,Unknown,ECL,24,1
Stoic Grove-Guide,Unknown,ECL,243,1
Firdoch Core,Unknown,ECL,255,1
Foraging Wickermaw,Unknown,ECL,256,1
Stalactite Dagger,Unknown,ECL,261,1
Plains,Unknown,ECL,269,1
Island,Unknown,ECL,270,1
Swamp,Unknown,ECL,271,1
Mountain,Unknown,ECL,272,1
Forest,Unknown,ECL,273,1
Riverguard's Reflexes,Unknown,ECL,33,1
Spiral into Solitude,Unknown,ECL,36,1
Tributary Vaulter,Unknown,ECL,40,1
Flitterwing Nuisance,Unknown,ECL,48,1
Glamermite,Unknown,ECL,50,2
Gravelgill Scoundrel,Unknown,ECL,53,1
Noggle the Mind,Unknown,ECL,60,1
Unexpected Assistance,Unknown,ECL,80,1
Auntie's Sentence,Unknown,ECL,85,1
Bile-Vial Boggart,Unknown,ECL,87,1
Champion of the Clachan,Unknown,ECL,9,1
Bogslither's Embrace,Unknown,ECL,94,1
Creakwood Safewright,Unknown,ECL,96,1
Gravblade Heavy,Unknown,EOE,102,1
Gravpack Monoist,Unknown,EOE,104,2
Insatiable Skittermaw,Unknown,EOE,108,1
Perigee Beckoner,Unknown,EOE,112,1
"Sothera, the Supervoid",Unknown,EOE,115,1
Temporal Intervention,Unknown,EOE,120,1
Virus Beetle,Unknown,EOE,124,1
"Xu-Ifit, Osteoharmonist",Unknown,EOE,127,2
Zero Point Ballad,Unknown,EOE,128,1
Kav Landseeker,Unknown,EOE,138,1
Kavaron Skywarden,Unknown,EOE,140,1
Oreplate Pangolin,Unknown,EOE,150,1
Rust Harvester,Unknown,EOE,159,1
Slagdrill Scrapper,Unknown,EOE,160,1
Flight-Deck Coordinator,Unknown,EOE,17,1
Diplomatic Relations,Unknown,EOE,177,1
Focus Fire,Unknown,EOE,18,1
Eumidian Terrabotanist,Unknown,EOE,180,1
Fungal Colossus,Unknown,EOE,184,1
Hemosymbic Mite,Unknown,EOE,190,1
"Tezzeret, Cruel Captain",Unknown,EOE,2,1
Knight Luminary,Unknown,EOE,23,1
Pinnacle Kill-Ship,Unknown,EOE,244,1
Thaumaton Torpedo,Unknown,EOE,246,1
Plains,Unknown,EOE,267,1
Plains,Unknown,EOE,268,1
Island,Unknown,EOE,269,1
Island,Unknown,EOE,270,1
Swamp,Unknown,EOE,271,1
Swamp,Unknown,EOE,272,1
Mountain,Unknown,EOE,273,1
Mountain,Unknown,EOE,274,1
Forest,Unknown,EOE,275,1
Forest,Unknown,EOE,276,1
Radiant Strike,Unknown,EOE,29,1
Reroute Systems,Unknown,EOE,31,1
Sunstar Chaplain,Unknown,EOE,40,1
Cloudsculpt Technician,Unknown,EOE,49,1
Lost in Space,Unknown,EOE,62,2
Selfcraft Mechan,Unknown,EOE,74,1
Brightspear Zealot,Unknown,EOE,8,1
Uthros Scanship,Unknown,EOE,85,1
Comet Crawler,Unknown,EOE,92,1
Dark Endurance,Unknown,EOE,93,1
Embrace Oblivion,Unknown,EOE,98,1
Entropic Battlecruiser,Unknown,EOE,99,1
Strip Mine,Unknown,EOS,40,1
Nature's Claim,Unknown,FCA,47,1
Divine Resilience,Unknown,FDN,10,1
Beast-Kin Ranger,Unknown,FDN,100,2
Cackling Prowler,Unknown,FDN,101,2
Eager Trufflesnout,Unknown,FDN,102,2
Elfsworn Giant,Unknown,FDN,103,2
Felling Blow,Unknown,FDN,105,2
"Loot, Exuberant Explorer",Unknown,FDN,106,1
Mossborn Hydra,Unknown,FDN,107,1
Needletooth Pack,Unknown,FDN,108,2
Quilled Greatwurm,Unknown,FDN,111,1
Spinner of Souls,Unknown,FDN,112,1
"Alesha, Who Laughs at Fate",Unknown,FDN,115,1
Anthem of Champions,Unknown,FDN,116,1
Ashroot Animist,Unknown,FDN,117,1
Dreadwing Scavenger,Unknown,FDN,118,4
"Elenda, Saint of Dusk",Unknown,FDN,119,1
Felidar Savior,Unknown,FDN,12,2
Fiendish Panda,Unknown,FDN,120,2
"Niv-Mizzet, Visionary",Unknown,FDN,123,1
Perforating Artist,Unknown,FDN,124,3
Wardens of the Cycle,Unknown,FDN,125,3
Quick-Draw Katana,Unknown,FDN,130,1
Ajani's Pridemate,Unknown,FDN,135,3
Banishing Light,Unknown,FDN,138,4
"Giada, Font of Hope",Unknown,FDN,141,1
Healer's Hawk,Unknown,FDN,142,2
Resolute Reinforcements,Unknown,FDN,145,1
Savannah Lions,Unknown,FDN,146,3
Serra Angel,Unknown,FDN,147,1
Youthful Valkyrie,Unknown,FDN,149,2
